experiment_name,tcr_input,metadata,n_params,n_train,n_val,n_test,best_val_auroc,auroc,auprc,accuracy,f1
cross_attention_raw_aug-cat_ae,raw,cat_ae,147393,261118,31109,35616,0.9293549502332644,0.6501411972623234,0.4784429243546855,0.7387690925426774,0.3552321552321552
cross_attention_raw,raw,none,143233,261118,31109,35616,0.8595412707273233,0.6157950877206477,0.3721403809728041,0.7083052560646901,0.05322154378930101
