experiment_name,tcr_embedding,peptide_embedding,categorical,input_dim,n_train,n_val,n_test,auroc,auprc,accuracy,f1,threshold
onehot_meta,one_hot,one_hot,one_hot,1145,115188,46038,43716,0.7686532360831734,0.6225264175442928,0.6716305242931649,0.0344386897154772,0.4316939890710382
onehot,one_hot,one_hot,none,990,115188,46038,43716,0.7215515431157843,0.5626563106425109,0.6703037789367737,0.0248968270076449,0.4734042553191489
ae_meta,autoencoder/plain_ae,autoencoder/plain_ae,cat_ae,193,115188,46038,43716,0.4656463822844651,0.3193484857935262,0.6685195351816269,0.0204150611775839,0.4171122994652406
ae,autoencoder/plain_ae,autoencoder/plain_ae,none,128,115188,46038,43716,0.4895024862670712,0.3376089992721179,0.668084911702809,0.0091505053264135,0.4696969696969697
vae_meta,autoencoder/vae,autoencoder/vae,cat_ae,193,115188,46038,43716,0.5896965855714529,0.3955904177167244,0.668816909140818,0.0200351969676458,0.4022988505747126
vae,autoencoder/vae,autoencoder/vae,none,128,115188,46038,43716,0.5821946698861883,0.3904262496321577,0.6684509104218135,0.0138794393795074,0.4148936170212766
esm_cdr3_meta,esm/cdr3,autoencoder/plain_ae,cat_ae,1281,115188,46038,43716,0.525888827865293,0.3614403640092324,0.6687940342208802,0.0358260637943663,0.3825136612021858
esm_cdr3,esm/cdr3,autoencoder/plain_ae,none,1216,115188,46038,43716,0.5283869758762764,0.35556892348012964,0.6684509104218135,0.02357855025599569,0.41208791208791207
