experiment_name,tcr_embedding,peptide_embedding,categorical,input_dim,n_train,n_val,n_test,best_val_auroc,auroc,auprc,accuracy,f1,threshold
onehot_meta,one_hot,one_hot,one_hot,1145,115188,46038,43716,0.5737505199369328,0.6027515660652716,0.3851496266667095,0.4407082075212736,0.5341792409693644,0.2317393571138382
onehot,one_hot,one_hot,none,990,115188,46038,43716,0.5795272169245418,0.4865541223428789,0.3273301656186765,0.3867691463079879,0.4525851506983582,0.2062020152807235
ae_meta,autoencoder/plain_ae,autoencoder/plain_ae,cat_ae,193,115188,46038,43716,0.644297706923774,0.4360708308871796,0.3106701753939378,0.3073702992039528,0.4014706754432782,0.0666722357273101
ae,autoencoder/plain_ae,autoencoder/plain_ae,none,128,115188,46038,43716,0.4856696557544893,0.4249879898428385,0.3002343188332447,0.3333333333333333,0.4998798778185812,0.0874970182776451
vae_meta,autoencoder/vae,autoencoder/vae,cat_ae,193,115188,46038,43716,0.4809579950831023,0.5277505856022295,0.3613522225355145,0.376658431695489,0.5121732903687791,0.2716801166534424
vae,autoencoder/vae,autoencoder/vae,none,128,115188,46038,43716,0.5079833026210527,0.4734291289582817,0.3202965022277552,0.3883703907036325,0.4993821381763714,0.3204120993614197
esm_cdr3_meta,esm/cdr3,autoencoder/plain_ae,cat_ae,1281,115188,46038,43716,0.5362294577034649,0.5587669390664385,0.4102745947516417,0.3333104584133955,0.4999742652735601,0.5001755356788635
esm_cdr3,esm/cdr3,autoencoder/plain_ae,none,1216,115188,46038,43716,0.5323766791718764,0.5504360149465541,0.38373821982597117,0.33331045841339557,0.49995710731749166,0.4987948536872864
