experiment_name,feature_augment,n_params,n_train,n_val,n_test,best_val_auroc,auroc,auprc,accuracy,f1
gnn_aug-cat_ae,cat_ae,64930,261118,31109,35616,0.915985163552917,0.5408918198548854,0.3067830777824219,0.7074067834681043,0.0410416858378577
gnn,none,60770,261118,31109,35616,0.8760634676877693,0.5064772760926379,0.2899899730607691,0.7081929469901168,0.02950789055934261
